src_name,src_ref_range,concept_iri,unit_src,unit_target,conv_factor,value_kind,trust_default,verify_status,verified_by,note
血糖,3.9-6.1,https://example.org/dmo/id/LabTest-GLU,mmol-per-L,mg-per-dL,18.0182,quantitative,Unverified,verified,claude-r3,"参考范围 3.9-6.1 只可能是 mmol/L（mg/dL 的空腹正常区间是 70-99）。换算系数 18.0182 是葡萄糖分子量决定的，仅适用于葡萄糖。⚠️ 采血时点未知，只挂低血糖/酮症/急诊四条与时点无关的阈值，不套 FPG 诊断切点。"
肌酐,44-133,https://example.org/dmo/id/LabTest-CREAT,umol-per-L,,,quantitative,Unverified,verified,claude-r3,"参考范围 44-133 是 µmol/L（mg/dL 约 0.6-1.3）。刻意不填 conv_factor：本体侧该概念没挂任何 hasThreshold，换算了也没有阈值可比，先不引入 ÷88.4 这个只对肌酐成立的系数。"
尿素氮,2.9-8.2,https://example.org/dmo/id/LabTest-BUN,mmol-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 2.9-8.2 是 mmol/L。无诊断切点，不换算。
尿蛋白,阴性,https://example.org/dmo/id/LabTest-URINE-PROTEIN,,,,qualitative,Unverified,unmappable,claude-r3,"参考范围是『阴性』⟹ 干化学定性项，上游那一列里的『10.4』根本不该当数值读。value_kind=qualitative 且 unmappable：永不进 core_lab_result，只进 core_observation.value_text。判断白蛋白尿要用 UACR(mg/g)，是另一个检验。这正是 semantic_link 出错的那一条。"
血小板,100-300,https://example.org/dmo/id/LabTest-PLT,10*9-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 100-300 是 10⁹/L。与糖尿病诊断无关，无切点。
白细胞,4-10,https://example.org/dmo/id/LabTest-WBC,10*9-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 4-10 是 10⁹/L。无切点。
血红蛋白,10-15,https://example.org/dmo/id/LabTest-HGB,,,,quantitative,Unverified,candidate,,"⚠️ 单位反推失败：10-15 既不匹配 g/dL 常规区间（约 12-16），也不匹配 g/L（约 120-160）。保持 candidate，人工核实前不参与换算、不进 core_lab_result。⚠️ 别与糖化血红蛋白（A1C）混淆。"
ALT,0-40,https://example.org/dmo/id/LabTest-ALT,U-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 0-40 是 U/L。无切点。
AST,0-40,https://example.org/dmo/id/LabTest-AST,U-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 0-40 是 U/L。无切点。
总胆固醇,3.0-5.2,https://example.org/dmo/id/LabTest-CHOL,mmol-per-L,,,quantitative,Unverified,verified,claude-r3,"参考范围 3.0-5.2 是 mmol/L。语料（ABCS）只有『管理胆固醇』的定性表述，无数值切点，故无 hasThreshold。"
甘油三酯,0.56-1.7,https://example.org/dmo/id/LabTest-TG,mmol-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 0.56-1.7 是 mmol/L。无数值切点。
TSH,0.27-4.2,https://example.org/dmo/id/LabTest-TSH,mIU-per-L,,,quantitative,Unverified,verified,claude-r3,参考范围 0.27-4.2 是 mIU/L。无切点。
糖化血红蛋白,,https://example.org/dmo/id/LabTest-A1C,,percent,,quantitative,Attested,no-source-data,claude-r3,"⚠️ 本体里有 A1C 概念和三条诊断阈值，但**上游全库一条 A1C 数值都没有**：cdr_lis_result 的 12 种子项名不含它。所谓的『ITEM14 糖化血红蛋白』是大项名，其下挂的子项是 AST/尿蛋白/血小板/尿素氮 —— 主子表语义错位。这一行的存在就是为了让 explain_gap() 能如实回答『为什么查不到糖化血红蛋白』。"
空腹血糖,,https://example.org/dmo/id/LabTest-FPG,,mg-per-dL,,quantitative,Attested,no-source-data,claude-r3,上游没有标注空腹的血糖项目。演示队列可以显式记为 FPG，真实数据不行。
尿微量白蛋白,,https://example.org/dmo/id/LabTest-UACR,,mg-per-g,,quantitative,Attested,no-source-data,claude-r3,"上游 cdr_lis_detail 有『尿微量白蛋白』这个**大项名**（35 条），但其下子项是总胆固醇/尿素氮/血小板/AST，没有一条真的是 UACR。大项名一律不映射，此行只为 explain_gap 记账。"
